Entity,Code,Year,Renewables (% equivalent primary energy)
China,CHN,1979,3.0088992
China,CHN,1980,3.5661976
China,CHN,1981,4.066497
China,CHN,1982,4.4212723
China,CHN,1983,4.8234906
China,CHN,1984,4.515455
China,CHN,1985,4.44183
China,CHN,1986,4.3385277
China,CHN,1987,4.2555475
China,CHN,1988,4.3230724
China,CHN,1989,4.468027
China,CHN,1990,4.7236676
China,CHN,1991,4.424778
China,CHN,1992,4.4127016
China,CHN,1993,4.7578607
China,CHN,1994,4.952474
China,CHN,1995,5.55382
China,CHN,1996,5.143133
China,CHN,1997,5.361734
China,CHN,1998,5.4277782
China,CHN,1999,5.188286
China,CHN,2000,5.656925
China,CHN,2001,6.618624
China,CHN,2002,6.2804885
China,CHN,2003,5.3011093
China,CHN,2004,5.60094
China,CHN,2005,5.554481
China,CHN,2006,5.5779824
China,CHN,2007,5.718535
China,CHN,2008,7.268667
China,CHN,2009,6.9355316
China,CHN,2010,7.615998
China,CHN,2011,7.084204
China,CHN,2012,8.522597
China,CHN,2013,8.959421
China,CHN,2014,10.19733
China,CHN,2015,10.787498
China,CHN,2016,11.530947
China,CHN,2017,12.138821
China,CHN,2018,12.807393
China,CHN,2019,13.51596
China,CHN,2020,14.242872
China,CHN,2021,14.946244
Japan,JPN,1965,12.335087
Japan,JPN,1966,11.651081
Japan,JPN,1967,8.7938595
Japan,JPN,1968,8.451984
Japan,JPN,1969,7.6118827
Japan,JPN,1970,6.8364344
Japan,JPN,1971,7.1661816
Japan,JPN,1972,6.9147363
Japan,JPN,1973,4.894682
Japan,JPN,1974,6.03098
Japan,JPN,1975,6.3732066
Japan,JPN,1976,6.1613503
Japan,JPN,1977,5.355945
Japan,JPN,1978,4.956838
Japan,JPN,1979,5.5059476
Japan,JPN,1980,6.194887
Japan,JPN,1981,6.2369404
Japan,JPN,1982,6.7352734
Japan,JPN,1983,6.9266505
Japan,JPN,1984,5.621934
Japan,JPN,1985,6.3616724
Japan,JPN,1986,6.29662
Japan,JPN,1987,5.851933
Japan,JPN,1988,6.5230265
Japan,JPN,1989,6.458432
Japan,JPN,1990,5.605645
Japan,JPN,1991,5.9171295
Japan,JPN,1992,5.080175
Japan,JPN,1993,5.6661205
Japan,JPN,1994,4.097034
Japan,JPN,1995,4.652009
Japan,JPN,1996,4.532676
Japan,JPN,1997,4.9516325
Japan,JPN,1998,5.170876
Japan,JPN,1999,4.8562875
Japan,JPN,2000,4.8274536
Japan,JPN,2001,4.716366
Japan,JPN,2002,4.702637
Japan,JPN,2003,5.3320413
Japan,JPN,2004,5.25767
Japan,JPN,2005,4.790323
Japan,JPN,2006,5.3090086
Japan,JPN,2007,4.7619534
Japan,JPN,2008,4.830859
Japan,JPN,2009,5.021396
Japan,JPN,2010,5.684884
Japan,JPN,2011,5.733157
Japan,JPN,2012,5.6502047
Japan,JPN,2013,6.1299677
Japan,JPN,2014,6.9359174
Japan,JPN,2015,8.068797
Japan,JPN,2016,7.9758606
Japan,JPN,2017,8.634004
Japan,JPN,2018,9.322305
Japan,JPN,2019,9.565927
Japan,JPN,2020,11.155339
Japan,JPN,2021,11.428995
Germany,DEU,1965,1.614503
Germany,DEU,1966,1.7416129
Germany,DEU,1967,1.6582538
Germany,DEU,1968,1.5761398
Germany,DEU,1969,1.1857672
Germany,DEU,1970,1.5171292
Germany,DEU,1971,1.1796806
Germany,DEU,1972,1.1219959
Germany,DEU,1973,1.2137141
Germany,DEU,1974,1.4188614
Germany,DEU,1975,1.4353294
Germany,DEU,1976,1.1208524
Germany,DEU,1977,1.3967295
Germany,DEU,1978,1.408961
Germany,DEU,1979,1.3454018
Germany,DEU,1980,1.4781905
Germany,DEU,1981,1.5739785
Germany,DEU,1982,1.6178513
Germany,DEU,1983,1.4992614
Germany,DEU,1984,1.4371842
Germany,DEU,1985,1.3216147
Germany,DEU,1986,1.4105299
Germany,DEU,1987,1.5094993
Germany,DEU,1988,1.5009333
Germany,DEU,1989,1.3991727
Germany,DEU,1990,1.33694
Germany,DEU,1991,1.2709577
Germany,DEU,1992,1.5204551
Germany,DEU,1993,1.5835441
Germany,DEU,1994,1.7396334
Germany,DEU,1995,1.8891898
Germany,DEU,1996,1.6823945
Germany,DEU,1997,1.8035167
Germany,DEU,1998,1.970565
Germany,DEU,1999,2.2275858
Germany,DEU,2000,2.8871117
Germany,DEU,2001,2.9411676
Germany,DEU,2002,3.538632
Germany,DEU,2003,3.6419897
Germany,DEU,2004,4.5165977
Germany,DEU,2005,5.2084193
Germany,DEU,2006,6.0263047
Germany,DEU,2007,7.6538334
Germany,DEU,2008,7.8176284
Germany,DEU,2009,8.45428
Germany,DEU,2010,8.792469
Germany,DEU,2011,10.566965
Germany,DEU,2012,11.899699
Germany,DEU,2013,12.063335
Germany,DEU,2014,13.278847
Germany,DEU,2015,14.823544
Germany,DEU,2016,14.607312
Germany,DEU,2017,16.196213
Germany,DEU,2018,17.084951
Germany,DEU,2019,18.768305
Germany,DEU,2020,21.122828
Germany,DEU,2021,19.453121
United Kingdom,GBR,1965,0.58878726
United Kingdom,GBR,1966,0.57627946
United Kingdom,GBR,1967,0.620428
United Kingdom,GBR,1968,0.4564072
United Kingdom,GBR,1969,0.38531396
United Kingdom,GBR,1970,0.52578115
United Kingdom,GBR,1971,0.39834356
United Kingdom,GBR,1972,0.39256626
United Kingdom,GBR,1973,0.4255182
United Kingdom,GBR,1974,0.4752093
United Kingdom,GBR,1975,0.47519854
United Kingdom,GBR,1976,0.5503049
United Kingdom,GBR,1977,0.47088912
United Kingdom,GBR,1978,0.4820574
United Kingdom,GBR,1979,0.48675346
United Kingdom,GBR,1980,0.49102557
United Kingdom,GBR,1981,0.5643997
United Kingdom,GBR,1982,0.58695453
United Kingdom,GBR,1983,0.58459073
United Kingdom,GBR,1984,0.5849746
United Kingdom,GBR,1985,0.4892039
United Kingdom,GBR,1986,0.57397205
United Kingdom,GBR,1987,0.5047145
United Kingdom,GBR,1988,0.58119583
United Kingdom,GBR,1989,0.5676243
United Kingdom,GBR,1990,0.6801178
United Kingdom,GBR,1991,0.6104342
United Kingdom,GBR,1992,0.74249935
United Kingdom,GBR,1993,0.6676498
United Kingdom,GBR,1994,0.8253748
United Kingdom,GBR,1995,0.7896188
United Kingdom,GBR,1996,0.6443789
United Kingdom,GBR,1997,0.825345
United Kingdom,GBR,1998,0.9855972
United Kingdom,GBR,1999,1.1055505
United Kingdom,GBR,2000,1.1345575
United Kingdom,GBR,2001,1.0856745
United Kingdom,GBR,2002,1.2876195
United Kingdom,GBR,2003,1.2342336
United Kingdom,GBR,2004,1.6083946
United Kingdom,GBR,2005,1.924693
United Kingdom,GBR,2006,2.1163092
United Kingdom,GBR,2007,2.42211
United Kingdom,GBR,2008,2.912039
United Kingdom,GBR,2009,3.545405
United Kingdom,GBR,2010,3.6591299
United Kingdom,GBR,2011,4.891127
United Kingdom,GBR,2012,5.453807
United Kingdom,GBR,2013,6.9547257
United Kingdom,GBR,2014,8.877189
United Kingdom,GBR,2015,10.976621
United Kingdom,GBR,2016,11.037631
United Kingdom,GBR,2017,12.948246
United Kingdom,GBR,2018,14.526468
United Kingdom,GBR,2019,16.24154
United Kingdom,GBR,2020,20.078987
United Kingdom,GBR,2021,17.946543
Australia,AUS,1965,5.5626216
Australia,AUS,1966,5.0718946
Australia,AUS,1967,4.9495487
Australia,AUS,1968,4.8654675
Australia,AUS,1969,5.086988
Australia,AUS,1970,5.4214506
Australia,AUS,1971,5.822727
Australia,AUS,1972,5.599285
Australia,AUS,1973,5.5886645
Australia,AUS,1974,5.9551096
Australia,AUS,1975,6.297008
Australia,AUS,1976,5.7934213
Australia,AUS,1977,5.269775
Australia,AUS,1978,5.508696
Australia,AUS,1979,5.1658406
Australia,AUS,1980,4.862272
Australia,AUS,1981,4.9303546
Australia,AUS,1982,4.6367826
Australia,AUS,1983,4.5344815
Australia,AUS,1984,4.7184544
Australia,AUS,1985,4.863155
Australia,AUS,1986,4.7985597
Australia,AUS,1987,4.532893
Australia,AUS,1988,4.6416802
Australia,AUS,1989,4.4199533
Australia,AUS,1990,4.459391
Australia,AUS,1991,4.7400618
Australia,AUS,1992,4.731717
Australia,AUS,1993,4.7594285
Australia,AUS,1994,4.5271807
Australia,AUS,1995,4.239725
Australia,AUS,1996,4.236591
Australia,AUS,1997,4.1458387
Australia,AUS,1998,4.037756
Australia,AUS,1999,4.0089335
Australia,AUS,2000,3.9888778
Australia,AUS,2001,3.870762
Australia,AUS,2002,3.9314504
Australia,AUS,2003,4.014969
Australia,AUS,2004,4.0365605
Australia,AUS,2005,4.3135533
Australia,AUS,2006,4.233413
Australia,AUS,2007,3.9767227
Australia,AUS,2008,3.6813264
Australia,AUS,2009,3.9202662
Australia,AUS,2010,4.3128047
Australia,AUS,2011,5.698981
Australia,AUS,2012,5.700209
Australia,AUS,2013,6.525869
Australia,AUS,2014,5.979823
Australia,AUS,2015,6.290021
Australia,AUS,2016,7.1891756
Australia,AUS,2017,6.750127
Australia,AUS,2018,8.300061
Australia,AUS,2019,8.880722
Australia,AUS,2020,10.789811
Australia,AUS,2021,12.933532
